street_address,zip,row,cleaned_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,full_address,lat,long,score,matched_address,m_is_intersection,m_street,m_stnum1,m_stnum2,m_stdir,m_stname,m_sttype,m_zip
3721 W 116TH ST,60655,130449,3721 W 116TH ST,FALSE,3721,3721,W,116TH,ST,"3721 W 116TH ST, CHICAGO IL 60655",41.68205101587,-87.713607041032,99.42,"3721 W 116TH ST, ALSIP, IL, 60803",FALSE,3721 W 116TH ST,3721,3721,W,116TH,ST, 60803
5127 W OAKTON ST,60077,130450,5127 W OAKTON ST,FALSE,5127,5127,W,OAKTON,ST,"5127 W OAKTON ST, CHICAGO IL 60077",42.025970016618,-87.75604796957,96.01,"5127 OAKTON ST, SKOKIE, IL, 60077",FALSE,5127 OAKTON ST,5127,5127,,OAKTON,ST, 60077
4331 SW W SOUTHWEST HWY,60456,130451,4331 SW W SOUTHWEST HWY,FALSE,4331,4331,SW,W SOUTHWEST,HWY,"4331 SW W SOUTHWEST HWY, CHICAGO IL 60456",41.728342003994,-87.730081001171,97.91,"4331 SOUTHWEST HWY, HOMETOWN, IL, 60456",FALSE,4331 SOUTHWEST HWY,4331,4331,,SOUTHWEST,HWY, 60456
4000 N OLCOTT AVE,60706,130452,4000 N OLCOTT AVE,FALSE,4000,4000,N,OLCOTT,AVE,"4000 N OLCOTT AVE, CHICAGO IL 60706",41.952876007162,-87.814994038928,99.9,"4000 N OLCOTT AVE, NORRIDGE, IL, 60706",FALSE,4000 N OLCOTT AVE,4000,4000,N,OLCOTT,AVE, 60706
4950 W 39TH ST,60402,130453,4950 W 39TH ST,FALSE,4950,4950,W,39TH,ST,"4950 W 39TH ST, CHICAGO IL 60402",41.822016708251,-87.747613879675,99.42,"4950 W 39TH ST, CICERO, IL, 60804",FALSE,4950 W 39TH ST,4950,4950,W,39TH,ST, 60804
4937 W 25TH ST,60804,130455,4937 W 25TH ST,FALSE,4937,4937,W,25TH,ST,"4937 W 25TH ST, CHICAGO IL 60804",41.845689578175,-87.747187858381,99.9,"4937 W 25TH ST, CICERO, IL, 60804",FALSE,4937 W 25TH ST,4937,4937,W,25TH,ST, 60804
3726 W 116TH PL,60655,130457,3726 W 116TH PL,FALSE,3726,3726,W,116TH,PL,"3726 W 116TH PL, CHICAGO IL 60655",41.68152899094,-87.713915997983,99.42,"3726 W 116TH PL, ALSIP, IL, 60803",FALSE,3726 W 116TH PL,3726,3726,W,116TH,PL, 60803
6401 N LONGMEADOW,60712,130458,6401 N LONGMEADOW,FALSE,6401,6401,N,LONGMEADOW,,"6401 N LONGMEADOW, CHICAGO IL 60712",41.997558005153,-87.75161402661,96.96,"6401 N LONGMEADOW AVE, LINCOLNWOOD, IL, 60712",FALSE,6401 N LONGMEADOW AVE,6401,6401,N,LONGMEADOW,AVE, 60712
6407 N LONGMEADOW,60712,130459,6407 N LONGMEADOW,FALSE,6407,6407,N,LONGMEADOW,,"6407 N LONGMEADOW, CHICAGO IL 60712",41.997704981825,-87.751462984714,96.96,"6407 N LONGMEADOW AVE, LINCOLNWOOD, IL, 60712",FALSE,6407 N LONGMEADOW AVE,6407,6407,N,LONGMEADOW,AVE, 60712
6411 N LONGMEADOW,60712,130461,6411 N LONGMEADOW,FALSE,6411,6411,N,LONGMEADOW,,"6411 N LONGMEADOW, CHICAGO IL 60712",41.997869979589,-87.751354019973,96.96,"6411 N LONGMEADOW AVE, LINCOLNWOOD, IL, 60712",FALSE,6411 N LONGMEADOW AVE,6411,6411,N,LONGMEADOW,AVE, 60712
