row,full_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,zip,geocoder,lat,long,geoid,m_is_intersection,m_stnum1,m_stnum2,m_stdir,m_stname,m_zip
146757,"10000 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,10000,10000,S,CALIFORNIA,AVE,60642,Census Bureau,41.711693873548,-87.691749624632,17031821900,FALSE,10000,10000,S,CALIFORNIA, 60805
146758,"10012 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,10012,10012,S,CALIFORNIA,AVE,60642,Census Bureau,41.711409898291,-87.691741414945,17031821900,FALSE,10012,10012,S,CALIFORNIA, 60805
146759,"10018 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,10018,10018,S,CALIFORNIA,AVE,60642,Census Bureau,41.711268124179,-87.691736689156,17031821900,FALSE,10018,10018,S,CALIFORNIA, 60805
146760,"10042 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,10042,10042,S,CALIFORNIA,AVE,60642,Census Bureau,41.710697929707,-87.691717240735,17031821900,FALSE,10042,10042,S,CALIFORNIA, 60805
146761,"10060 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,10060,10060,S,CALIFORNIA,AVE,60642,Census Bureau,41.710468002363,-87.691708817426,17031821900,FALSE,10060,10060,S,CALIFORNIA, 60805
146762,"10112 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,10112,10112,S,CALIFORNIA,AVE,60642,Census Bureau,41.709499830575,-87.691679977344,17031821900,FALSE,10112,10112,S,CALIFORNIA, 60805
146763,"10118 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,10118,10118,S,CALIFORNIA,AVE,60642,Census Bureau,41.709316508038,-87.691673966788,17031821900,FALSE,10118,10118,S,CALIFORNIA, 60805
146764,"10126 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,10126,10126,S,CALIFORNIA,AVE,60642,Census Bureau,41.709072395433,-87.691666916732,17031821900,FALSE,10126,10126,S,CALIFORNIA, 60805
146765,"10132 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,10132,10132,S,CALIFORNIA,AVE,60642,Census Bureau,41.708911404358,-87.691660312477,17031821900,FALSE,10132,10132,S,CALIFORNIA, 60805
146766,"10136 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,10136,10136,S,CALIFORNIA,AVE,60642,Census Bureau,41.708866022842,-87.691658043406,17031821900,FALSE,10136,10136,S,CALIFORNIA, 60805
